dataset,subject,grade,year,jurisdiction,stat,variable,group,value,errorFlag,displayable
schtype,MAT,8,2017,NT,PC:P2,SCHTYP2,Private,999,288,0
schtype,MAT,8,2017,NT,PC:P5,SCHTYP2,Private,999,288,0
schtype,MAT,8,2017,NT,PC:P7,SCHTYP2,Private,999,288,0
schtype,MAT,8,2017,NT,PC:P9,SCHTYP2,Private,999,288,0
schtype,MAT,8,2003,NT,MN:MN,SCHTYPE,Public,276.115275580545,0,1
schtype,MAT,8,2003,NT,MN:MN,SCHTYPE,Other private,294.319139493417,0,1
schtype,MAT,8,2003,NT,MN:MN,SCHTYPE,Catholic,289.452884091271,0,1
schtype,MAT,8,2003,NT,MN:MN,SCHTYPE,Bureau of Indian Education,999,257,0
schtype,MAT,8,2003,NT,MN:MN,SCHTYPE,Department of Defense,285.561773781699,0,1
schtype,MAT,8,2005,NT,MN:MN,SCHTYPE,Public,277.519684495209,0,1
schtype,MAT,8,2005,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2005,NT,MN:MN,SCHTYPE,Catholic,290.149050413832,0,1
schtype,MAT,8,2005,NT,MN:MN,SCHTYPE,Bureau of Indian Education,243.344809903241,0,1
schtype,MAT,8,2005,NT,MN:MN,SCHTYPE,Department of Defense,283.902342960277,0,1
schtype,MAT,8,2007,NT,MN:MN,SCHTYPE,Public,280.169461427268,0,1
schtype,MAT,8,2007,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2007,NT,MN:MN,SCHTYPE,Catholic,291.914375209242,0,1
schtype,MAT,8,2007,NT,MN:MN,SCHTYPE,Bureau of Indian Education,243.903255504319,0,1
schtype,MAT,8,2007,NT,MN:MN,SCHTYPE,Department of Defense,285.065311847755,0,1
schtype,MAT,8,2009,NT,MN:MN,SCHTYPE,Public,281.674781063299,0,1
schtype,MAT,8,2009,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2009,NT,MN:MN,SCHTYPE,Catholic,296.736818362051,0,1
schtype,MAT,8,2009,NT,MN:MN,SCHTYPE,Bureau of Indian Education,247.767575900187,0,1
schtype,MAT,8,2009,NT,MN:MN,SCHTYPE,Department of Defense,287.149652381487,0,1
schtype,MAT,8,2011,NT,MN:MN,SCHTYPE,Public,282.727131008882,0,1
schtype,MAT,8,2011,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2011,NT,MN:MN,SCHTYPE,Catholic,295.241107957893,0,1
schtype,MAT,8,2011,NT,MN:MN,SCHTYPE,Bureau of Indian Education,249.672815205865,0,1
schtype,MAT,8,2011,NT,MN:MN,SCHTYPE,Department of Defense,287.851166349466,0,1
schtype,MAT,8,2013,NT,MN:MN,SCHTYPE,Public,283.615036453665,0,1
schtype,MAT,8,2013,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2013,NT,MN:MN,SCHTYPE,Catholic,294.884787923285,0,1
schtype,MAT,8,2013,NT,MN:MN,SCHTYPE,Bureau of Indian Education,249.745043560223,0,1
schtype,MAT,8,2013,NT,MN:MN,SCHTYPE,Department of Defense,290.426593923566,0,1
schtype,MAT,8,2015,NT,MN:MN,SCHTYPE,Public,281.279588839312,0,1
schtype,MAT,8,2015,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2015,NT,MN:MN,SCHTYPE,Catholic,293.362506735733,0,1
schtype,MAT,8,2015,NT,MN:MN,SCHTYPE,Bureau of Indian Education,252.459393761687,0,1
schtype,MAT,8,2015,NT,MN:MN,SCHTYPE,Department of Defense,290.53073618097,0,1
schtype,MAT,8,2017,NT,MN:MN,SCHTYPE,Public,281.957554900527,0,1
schtype,MAT,8,2017,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2017,NT,MN:MN,SCHTYPE,Catholic,294.200210271493,0,1
schtype,MAT,8,2017,NT,MN:MN,SCHTYPE,Bureau of Indian Education,999,257,0
schtype,MAT,8,2017,NT,MN:MN,SCHTYPE,Department of Defense,292.841575582003,0,1
schtype,MAT,8,2019,NT,MN:MN,SCHTYPE,Public,280.986598557657,0,1
schtype,MAT,8,2019,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2019,NT,MN:MN,SCHTYPE,Catholic,293.424912195914,0,1
schtype,MAT,8,2019,NT,MN:MN,SCHTYPE,Bureau of Indian Education,250.812959496976,0,1
schtype,MAT,8,2019,NT,MN:MN,SCHTYPE,Department of Defense,292.128318163976,0,1
schtype,MAT,8,2022,NT,MN:MN,SCHTYPE,Public,273.132228606731,0,1
schtype,MAT,8,2022,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2022,NT,MN:MN,SCHTYPE,Catholic,287.601929447501,0,1
schtype,MAT,8,2022,NT,MN:MN,SCHTYPE,Bureau of Indian Education,999,257,0
schtype,MAT,8,2022,NT,MN:MN,SCHTYPE,Department of Defense,291.616731847413,0,1
schtype,MAT,8,2024,NT,MN:MN,SCHTYPE,Public,272.232647011559,0,1
schtype,MAT,8,2024,NT,MN:MN,SCHTYPE,Other private,999,272,0
schtype,MAT,8,2024,NT,MN:MN,SCHTYPE,Catholic,292.547536617354,0,1
schtype,MAT,8,2024,NT,MN:MN,SCHTYPE,Bureau of Indian Education,239.279788600596,0,1
schtype,MAT,8,2024,NT,MN:MN,SCHTYPE,Department of Defense,291.412155399847,0,1
schtype,RED,4,2003,NT,MN:MN,SCHTYP2,Public,216.455999255802,0,1
schtype,RED,4,2003,NT,PC:P1,SCHTYP2,Public,166.774002075195,0,1
schtype,RED,4,2003,NT,PC:P2,SCHTYP2,Public,192.729998779297,0,1
schtype,RED,4,2003,NT,PC:P5,SCHTYP2,Public,219.120001220703,0,1
schtype,RED,4,2003,NT,PC:P7,SCHTYP2,Public,242.743997192383,0,1
schtype,RED,4,2003,NT,PC:P9,SCHTYP2,Public,261.953997802735,0,1
schtype,RED,4,2003,NT,MN:MN,SCHTYP2,Private,234.543978785782,0,1
schtype,RED,4,2003,NT,PC:P1,SCHTYP2,Private,192.207998657227,0,1
schtype,RED,4,2003,NT,PC:P2,SCHTYP2,Private,214.256002807617,0,1
schtype,RED,4,2003,NT,PC:P5,SCHTYP2,Private,236.345999145508,0,1
schtype,RED,4,2003,NT,PC:P7,SCHTYP2,Private,256.713995361328,0,1
schtype,RED,4,2003,NT,PC:P9,SCHTYP2,Private,274.120001220703,0,1
schtype,RED,4,2005,NT,MN:MN,SCHTYP2,Public,999,288,0
schtype,RED,4,2005,NT,PC:P1,SCHTYP2,Public,999,288,0
schtype,RED,4,2005,NT,PC:P2,SCHTYP2,Public,999,288,0
