wave,county_fips,county_pop,share_mobile_any,share_anywless_t6,share_anywless_t7,share_anywless_t8,source,share_mobile_t6,share_mobile_t7,share_mobile_t7_vzw,mobile_t7_any,mobile_any_any
2011-06,08043,46770.0,0.9733,0.0008,0.0,0.0,analyze_table,,,,,
2011-06,08045,58511.0,0.9791,0.0001,0.0,0.0,analyze_table,,,,,
2011-06,08047,5500.0,0.6745,0.0232,0.0,0.0,analyze_table,,,,,
2011-06,08049,14995.0,0.9903,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08051,15513.0,0.9144,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08053,853.0,0.0633,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08055,6780.0,0.9463,0.0001,0.0,0.0,analyze_table,,,,,
2011-06,08057,1380.0,0.8594,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08059,536944.0,0.9973,0.9306,0.0,0.0,analyze_table,,,,,
2011-06,08061,1393.0,0.7889,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08063,8199.0,0.9874,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08065,7478.0,0.9836,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08067,52121.0,0.9853,0.3658,0.0,0.0,analyze_table,,,,,
2011-06,08069,303958.0,0.9846,0.9103,0.0,0.0,analyze_table,,,,,
2011-06,08071,15676.0,0.9576,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08073,5410.0,0.9302,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08075,22410.0,0.994,0.8524,0.0,0.0,analyze_table,,,,,
2011-06,08077,151450.0,0.9946,0.8707,0.0,0.0,analyze_table,,,,,
2011-06,08079,728.0,0.1099,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08081,14019.0,0.9627,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08083,25865.0,0.9818,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08085,42571.0,0.9709,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08087,28409.0,0.998,0.9699,0.0,0.0,analyze_table,,,,,
