county_fips,county_pop,state,n_waves_observed,first_t6_25,never_t6_25_by_jun2014,first_t6_50,never_t6_50_by_jun2014,first_t6_75,never_t6_75_by_jun2014,first_t7_25,never_t7_25_by_jun2014,first_t7_50,never_t7_50_by_jun2014,first_t7_75,never_t7_75_by_jun2014
36113,65707,NY,9,2011-12,False,2011-12,False,2012-06,False,2011-12,False,2011-12,False,2012-06,False
36115,63216,NY,9,2011-12,False,2012-06,False,2013-06,False,2011-12,False,2012-06,False,2013-06,False
36117,93772,NY,9,2010-12,False,2011-12,False,2012-12,False,2010-12,False,2011-12,False,2012-12,False
36119,949113,NY,9,2010-06,False,2010-06,False,2010-12,False,2010-12,False,2010-12,False,2011-06,False
36121,42155,NY,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
36123,25348,NY,9,2012-06,False,2012-06,False,2012-12,False,2012-06,False,2012-06,False,2012-12,False
37001,151131,NC,9,2010-06,False,2010-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
37003,37198,NC,9,2011-12,False,2013-06,False,2013-06,False,2011-12,False,2013-06,False,2013-06,False
37005,11155,NC,9,,True,,True,,True,,True,,True,,True
37007,26948,NC,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
37009,27281,NC,9,,True,,True,,True,,True,,True,,True
37011,17797,NC,9,2013-06,False,2013-12,False,,True,2013-06,False,2013-12,False,,True
37013,47759,NC,9,2012-06,False,2012-06,False,2013-06,False,2012-06,False,2012-06,False,2013-06,False
37015,21282,NC,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
37017,35190,NC,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
37019,107431,NC,9,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False
37021,238318,NC,9,2010-06,False,2010-06,False,2011-12,False,2011-06,False,2011-06,False,2011-12,False
37023,90912,NC,9,2011-12,False,2012-06,False,2012-06,False,2011-12,False,2012-06,False,2012-06,False
37025,178011,NC,9,2010-12,False,2010-12,False,2010-12,False,2011-06,False,2011-06,False,2011-06,False
37027,83029,NC,9,2010-06,False,2010-06,False,2011-12,False,2011-06,False,2011-06,False,2011-12,False
37029,9980,NC,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
37031,66469,NC,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
37033,23719,NC,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
37035,154358,NC,9,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False
37037,63505,NC,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
37039,27444,NC,9,2012-06,False,2012-06,False,2013-06,False,2012-06,False,2012-06,False,2013-06,False
37041,14793,NC,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
37043,10587,NC,9,2013-06,False,2013-06,False,2013-12,False,2013-06,False,2013-06,False,2013-12,False
